researcher,institution,pid,sub_areas
Rudinei Goularte,ICMC/USP,48/414,"['data', 'graphics']"
Rudini Menezes Sampaio,UFC,39/1114,['theory']
Sabrina Marczak,PUC-RS,05/6533,['se']
Salles Viana Gomes de Magalhaes,UFV,87/5124,['arch']
Sandra Avila,UNICAMP,97/3954,"['ai', 'vision']"
Sandra Fabbri,UFSCar,75/5829,['se']
Sandra Venske,UNICENTRO,64/11443,"['ai', 'or']"
Sandro Rigo,Unisinos,79/2208,['arch']
Santiago Valdes Ravelo,UNICAMP,157/6034,"['or', 'theory']"
Sarita Mazzini Bruschi,ICMC/USP,18/5969,['net']
Savio Freire,IFCE,117/6111,['se']
Sean Siqueira,UNIRIO,73/4321,"['chi', 'ir']"
Seiji Isotani,ICMC/USP,83/1033,"['ai', 'chi', 'cse']"
Sergio Bampi,UFRGS,84/5693,"['ai', 'hardware', 'vision']"
Sergio Campos,UFMG,01/2746,"['bio', 'formal', 'graphics']"
Sergio Lifschitz,PUC-Rio,l/SLifschitz,['bio']
Sergio Medeiros,UFRN,64/4850,"['pl', 'se']"
Sergio Soares,UFPE,58/232,"['ai', 'se']"
Sheila Reinehr,PUCPR,05/2483,"['chi', 'se']"
Silvana Rossetto,DCC/UFRJ,52/618,['ds']
Silvia Amelia Bim,UTFPR,131/8176,['cse']
Silvia Costa Botelho,FURG,43/4171,"['graphics', 'robotics']"
Silvia Vergilio,UFPR,99/4290,['se']
Silvio Guimaraes,PUC Minas,08/3856,"['graphics', 'vision']"
Simone Bacellar Leal Ferreira,UNIRIO,44/9823,['chi']
Simone Barbosa,PUC-Rio,b/SDJBarbosa,"['chi', 'dbis', 'graphics', 'se']"
Simone Cristiane dos Santos,UFPE,83/2310,['cse']
Simone Dantas de Souza,UFF,84/5767,"['or', 'theory']"
Simone Souza,ICMC/USP,35/1622,"['arch', 'ds', 'se']"
Simone de Lima Martins,UFF,50/11138,['or']
Solange Rezende,ICMC/USP,90/5551,"['ai', 'data', 'vision']"
Soraia Musse,PUC-RS,92/5311,"['graphics', 'vision']"
Soraia Prietch,UFMT,139/7426,['chi']
Steffen Lewitzka,UFBA,61/4362,['formal']
Stenio Fernandes,UFPE,09/6789,"['ds', 'net']"
Sulamita Klein,DCC/UFRJ,79/3504,['theory']
Sylvio Barbon Junior,UEL,66/5992,"['ai', 'data', 'dbis', 'graphics', 'net', 'vision']"
Taciana Pontual Falcao,UFRPE,10/5013,['ai']
Tatiana Tavares,UFPEL,89/3496,['chi']
Tayana Conte,UFAM,48/5,"['chi', 'dbis', 'se']"
Teobaldo Bulhoes,UFPB,211/6569,"['or', 'theory']"
Teofilo de Campos,UnB,94/4509,"['ai', 'vision']"
Teresa Ludermir,UFPE,00/6226,"['ai', 'theory']"
Thais Batista,UFRN,b/TVBatista,"['arch', 'ds', 'ir', 'se']"
Thais Rocha,UFAPE,166/6879,['se']
Thales Vieira,UFAL,36/4553,"['ai', 'graphics', 'robotics']"
Thelma Colanzi,UEM,84/1707,"['ai', 'se']"
Thiago Braga Marcilon,UFCA,133/8742,['theory']
Thiago Noronha,UFMG,43/4309,['or']
Thiago Oliveira Santos,UFES,83/9778,"['ai', 'graphics', 'vision']"
Thiago Pardo,ICMC/USP,31/4118,['ai']
Thiago Porcino,UFF,160/8940,['graphics']
Thiago Silva,UTFPR,42/10062,"['ai', 'dbis', 'ds', 'net']"
Thiago da Silveira,UFRGS,141/6127,"['graphics', 'vision']"
Thibaut Vidal,PUC-Rio,40/11481,"['ai', 'data', 'or', 'vision']"
Tiago Almeida,UFSCar,04/2243,['ai']
Tiago Espinola Ferreira,UFRPE,e/TAEspinolaFerreira,"['ai', 'data', 'hardware']"
Tiago Ferreto,PUC-RS,78/3004,"['arch', 'ds']"
Tiago Januario,UFBA,38/7837,"['ai', 'theory']"
Tiago Massoni,UFCG,91/4481,['se']
Tiago Pereira do Nascimento,UFPB,02/11271,['robotics']
Tiago Primo,UFPEL,34/9982,['ai']
Tiago da Silva,UNIFESP,78/3343,['se']
Ticianne Darin,UFC,202/0821,"['chi', 'se']"
Tsang Ing Ren,UFPE,98/5344,"['ai', 'graphics', 'vision']"
Tulio Toffolo,UFOP,98/7611,['or']
Ueverton Souza,UFF,48/11143,"['ai', 'or', 'theory']"
Uira Kulesza,UFRN,78/6010,"['net', 'se']"
Umberto Rivieccio,UFRN,18/5028,"['ai', 'formal']"
Valdinei Freire,EACH/USP,18/527,"['ai', 'graphics', 'ir']"
Valeria Lelli,UFC,09/7656,['se']
Valeria Times,UFPE,31/4518,"['bio', 'se']"
Valmir Barbosa,COPPE/UFRJ,b/ValmirCBarbosa,['net']
Valter Camargo,UFSCar,37/1266,"['ds', 'se']"
Vander Alves,UnB,15/5448,"['ai', 'se']"
Vanderlei Bonato,ICMC/USP,57/3827,"['ai', 'hardware']"
Vanessa Braganholo,UFF,84/2055,"['ai', 'dbis', 'se']"
Vania Bogorny,UFSC,16/2965,"['data', 'dbis']"
Vania Neris,UFSCar,233/8402,['chi']
Vaninha Vieira,UFBA,17/535,"['chi', 'se']"
Vasco Furtado,UNIFOR,17/2960,"['chi', 'ir']"
Veronica Teichrieb,UFPE,12/6264,"['ai', 'graphics', 'vision']"
Victor Campos,UFC,97/1609,['theory']
Victor Stroele,UFJF,88/6600,"['ai', 'ds']"
Vinicius Cassol,Unisinos,28/11115,['graphics']
Vinicius Garcia Pinto,FURG,235/7229,['arch']
Vinicius Garcia,UFPE,g/ViniciusCardosoGarcia,"['ai', 'arch', 'security']"
Vinicius Menezes de Oliveira,FURG,08/2829,['robotics']
Vinicius Petrucci,UFBA,80/2060,"['arch', 'ds']"
Vinicius Santos,UFMG,244/2005,"['or', 'theory']"
Virgilio Almeida,UFMG,a/VirgilioAlmeida,"['chi', 'ir']"
Vitor Estevao Silva Souza,UFES,72/3662,['dbis']
Vivek Nigam,UFPB,26/7042,"['ds', 'formal', 'net']"
Viviane Moreira,UFRGS,o/VivianeMoreiraOrengo,"['ai', 'arch']"
Wagner Meira,UFMG,m/WagnerMeiraJr,"['arch', 'data', 'ir', 'net']"
Wagner Zola,UFPR,162/0882,['ai']
Waldemar Celes,PUC-Rio,c/WaldemarCelesFilho,['graphics']
Wellington Santos Martins,UFG,120/9618,['ir']
Wendel Melo,UFU,150/9733,['or']
Wesley Nunes Goncalves,UFMS,59/1925,"['ai', 'vision']"
Weverton Cordeiro,UFRGS,96/2183,['net']
William Schwartz,UFMG,78/6398,"['ai', 'graphics', 'vision']"
Wilson de Oliveira,UFRPE,68/6342,['ai']
Windson Viana,UFC,54/4813,['se']
Wylliams Santos,UPE,119/7532,['se']
Yoshiharu Kohayakawa,IME/USP,48/5131,['theory']
Yoshiko Wakabayashi,IME/USP,49/4632,"['or', 'theory']"
Yuri Frota,UFF,20/4128,"['ai', 'ds', 'or']"
Yuska Aguiar,UFPB,135/0853,['chi']
Zanoni Dias,UNICAMP,93/6090,"['bio', 'graphics', 'or', 'security', 'vision']"
Zhao Liang,FFCLRP/USP,63/5422-1,"['ai', 'data']"
Carla Bezerra,UFC,09/5610,['se']
Luiz Augusto Morais,UFPE,246/3239,"['chi', 'graphics']"
Andson Marreiros Balieiro,UFPE,140/1381,['arch']
Paulo Freitas De Araujo Filho,UFPE,223/8310,['net']
Bruno Grisci,UFRGS,173/4128,"['ai', 'data']"
Dennis Giovani Balreira,UFRGS,208/7522,"['ai', 'graphics', 'vision']"
Henrique Becker,UFRGS,180/6136,['or']
Mateus Grellert,UFRGS,29/9850,"['ai', 'hardware']"
Fabio Botler,IME/USP,169/9872,['theory']
Marcel Kenji de Carli Silva,IME/USP,130/9167,['theory']
Emanuel Felipe Duarte,UNICAMP,167/3421,['chi']
Hilder Vitor Lima Pereira,UNICAMP,273/2369,['security']
Marcos Medeiros Raimundo,UNICAMP,214/2368,"['ai', 'data', 'graphics', 'or']"
Ruben Interian,UNICAMP,204/1592,['or']
Felipe Gomes de Oliveira,UFAM,211/8209,['robotics']
Joao Eduardo Montandon,UFMG,128/2576,['se']
Andre Hochuli,PUCPR,47/5891,['ai']
Eduardo Viegas,PUCPR,120/2495-1,"['arch', 'net', 'robotics', 'security']"
Jean Paul Barddal,PUCPR,148/4305,"['ai', 'data']"
Marcelo Eduardo Pellenz,PUCPR,12/1494,['ai']
Marco Antonio Simoes Teixeira,PUCPR,210/3781,['robotics']
Rayson Laroca,PUCPR,215/5013,['graphics']
Hector Azpurua,UFMG,156/6854,['robotics']
Walter Takashi Nakamura,UTFPR,201/2424,"['chi', 'se']"
