researcher,institution,pid,sub_areas
Elias Duarte,UFPR,02/3940,"['arch', 'net', 'theory']"
Elisa Yumi Nakagawa,ICMC/USP,67/5214,"['cse', 'se']"
Elizabeth Furtado,UNIFOR,55/6805,"['chi', 'ir']"
Elizabeth Goldbarg,UFRN,g/EFGouveaGoldbarg,"['ai', 'or']"
Elizabeth Wanner,CEFET-MG,63/1340,"['ai', 'or']"
Ellen Barbosa,ICMC/USP,66/2060,['cse']
Elmar Melcher,UFCG,60/6732,['graphics']
Emanuele Santos,UFC,42/3050,['graphics']
Emerson Carlos Pedrino,UFSCar,76/8293,"['ai', 'chi']"
Emerson Paraiso,PUCPR,33/4345,['ai']
Emilio Francesquini,UFABC,121/4593,['ai']
Enyo Goncalves,UFC,180/8353,['se']
Erickson Rangel do Nascimento,UFMG,92/7785,"['data', 'graphics', 'robotics', 'vision']"
Erika Cota,UFRGS,c/ErikaFCota,['formal']
Ernesto Birgin,IME/USP,21/829,"['ai', 'or']"
Esteban Clua,UFF,59/5772,"['ai', 'arch', 'graphics', 'se', 'vision']"
Esther Luna Colombini,UNICAMP,63/6586,"['ai', 'robotics']"
Evandro Costa,UFAL,04/6610,"['ai', 'graphics']"
Everton Alves,UFCG,34/7512,['se']
Ezequiel Roberto Zorzal,UNIFESP,42/6370,['graphics']
Fabiane Barreto Vavassori Beniti,UFSC,58/10759,['se']
Fabiano Ferrari,UFSCar,48/5007,"['ds', 'se']"
Fabiano Passuelo Hessel,PUC-RS,33/5648,['net']
Fabio Augusto Faria,UNIFESP,10/10071,"['arch', 'vision']"
Fabio Cappabianco,UNIFESP,22/6341,['vision']
Fabio Costa,UFG,01/6284,['ds']
Fabio Cozman,POLI/USP,g/FabioGagliardiCozman,"['ai', 'data', 'ir']"
Fabio Gomes Rocha,UNIT,246/8332,['se']
Fabio Kon,IME/USP,k/FabioKon,"['ds', 'se']"
Fabio Luiz Usberti,UNICAMP,37/7058,['or']
Fabio Mascarenhas,DCC/UFRJ,80/5193,['pl']
Fabio Porto,LNCC,p/FabioPorto,"['ai', 'arch', 'bio', 'dbis', 'ds']"
Fabio Protti,UFF,61/2851,"['or', 'theory']"
Fabio Q. B. da Silva,UFPE,66/5081,['se']
Fabio Verdi,UFSCar,40/654,"['arch', 'net', 'se']"
Fabiola Nakamura,UFAM,15/39,['bio']
Fabiola Pereira,UFU,16/1502,['graphics']
Fabricio Benevenuto,UFMG,90/2878,"['data', 'ir']"
Fabricio Breve,UNESP,70/3284,['ai']
Fabricio Enembreck,PUCPR,90/6263,"['ai', 'vision']"
Fabricio Martins Lopes,UTFPR,32/4623,['bio']
Fabricio Murai,UFMG,30/9221,"['ai', 'arch', 'data', 'ir']"
Fabricio Olivetti de Franca,UFABC,92/5258,"['ai', 'data']"
Fatima Nunes,EACH/USP,87/8751,"['ai', 'bio', 'chi', 'graphics']"
Felipe Franca,COPPE/UFRJ,f/FelipeMaiaGalvaoFranca,"['ai', 'arch', 'ds', 'hardware', 'or', 'robotics']"
Felipe Louza,UFU,30/9961,"['bio', 'theory']"
Felipe Meneguzzi,PUC-RS,10/985,['ai']
Felipe de Souza Marques,UFPEL,28/3459,['hardware']
Fernanda Alencar,UFPE,31/5316,['arch']
Fernanda Baiao,UNIRIO,b/FAraujoBaiao,"['ai', 'dbis']"
Fernanda Campos,UFJF,30/3085,['ds']
Fernanda Lima,UnB,20/5847,['se']
Fernando Castor,UFPE,f/FCFilho,['se']
Fernando Dotti,PUC-RS,22/512,"['arch', 'ds']"
Fernando Figueira Filho,UFRN,27/902,"['chi', 'se']"
Fernando Gehm Moraes,PUC-RS,m/FernandoGehmMoraes,['hardware']
Fernando Maciano de Paula Neto,UFPE,174/3576,"['ai', 'data']"
Fernando Osorio,ICMC/USP,00/5455,['ai']
Fernando Paulovich,ICMC/USP,63/3726,['graphics']
Fernando Pereira,UFMG,p/FMQPereira,"['arch', 'pl']"
Fernando Von Zuben,FEEC/UNICAMP,76/1954,"['ai', 'data', 'or']"
Filipe Saraiva,UFPA,150/4160,['se']
Flavia Bernardini,UFF,88/5413,"['dbis', 'graphics']"
Flavia Delicato,DCC/UFRJ,88/4289,"['arch', 'ds', 'ir', 'net']"
Flavia Santoro,UNIRIO,33/6173,['dbis']
Flavio Figueiredo,UFMG,98/7536,"['arch', 'data', 'net']"
Flavio Keidi Miyazawa,UNICAMP,m/FlavioKeidiMiyazawa,"['or', 'theory']"
Flavio Silva,UFU,02/979,"['arch', 'graphics', 'net']"
Francicleber Ferreira,UFC,92/87,['theory']
Francisco Heron de Carvalho,UFC,32/1402,"['arch', 'se']"
Francisco Jose Monaco,ICMC/USP,78/599,['ai']
Francisco Tenorio de Carvalho,UFPE,65/6740,"['ai', 'data', 'vision']"
Francisco Vilar Brasileiro,UFCG,b/FranciscoVilarBrasileiro,['arch']
Frank Siqueira,UFSC,32/5988,['arch']
Fred Freitas,UFPE,94/2962,['ai']
Frederico Durao,UFBA,22/4396,['ai']
Frederico Gadelha Guimaraes,UFMG,04/4216,"['ai', 'arch', 'graphics', 'net', 'or']"
Gabriel Coutinho,UFMG,173/4609,['theory']
Gabriel Luca Nazar,UFRGS,18/9853,"['hardware', 'net']"
Gabriel de Oliveira Ramos,Unisinos,133/2299,"['ai', 'robotics']"
Gecynalda Gomes,UFBA,121/2513,['ai']
Genaina Rodrigues,UnB,34/64,"['ds', 'robotics', 'se']"
George Cavalcanti,UFPE,57/458,"['ai', 'data', 'hardware', 'vision']"
George Lima,UFBA,07/2481,['ds']
George Teodoro,UFMG,78/87,"['arch', 'bio', 'dbis']"
Geraldo Pereira Rocha Filho,UnB,141/9518,"['ai', 'arch', 'graphics', 'net']"
Geraldo Robson Mateus,UFMG,20/1803,"['ai', 'net', 'or']"
Gerberth Adin Ramirez Rivera,UNICAMP,85/9834,"['ai', 'data', 'vision']"
Gerson Geraldo Cavalheiro,UFPEL,c/GGHCavalheiro,['arch']
Gerson Zaverucha,COPPE/UFRJ,53/3165,"['data', 'net']"
Giancarlo Guizzardi,UFES,11/78,"['bio', 'dbis', 'se']"
Gilberto Farias de Souza Filho,UFPB,121/8737,"['or', 'theory']"
Gilson Giraldi,LNCC,05/6423,"['ai', 'graphics']"
Gisele Pappa,UFMG,59/701,"['ai', 'data', 'or']"
Glauco Carneiro,UNIFACS,93/3808,['se']
Gleison Santos,UNIRIO,78/2800,['se']
Gracaliz Dimuro,FURG,79/36,"['ai', 'data']"
Guido Araujo,UNICAMP,a/GuidoAraujo,"['arch', 'hardware', 'pl']"
Guilherme Avelino,UFPI,167/4627,['se']
Guilherme Cavalcanti,IFAL,170/6113,['se']
Guilherme Maia,UFMG,97/7509,"['arch', 'net']"
Guilherme Oliveira Mota,IME/USP,204/5903,['theory']
Guilherme Pimentel Telles,UNICAMP,71/2226,['theory']
Guilherme Ribeiro Correa,UFPEL,14/8181,['graphics']
Guilherme Sousa Bastos,UNIFEI,166/2034,['robotics']
Guilherme Travassos,COPPE/UFRJ,t/GuilhermeTravassos,"['chi', 'se']"
Guilherme de Castro Mendes Gomes,UFMG,121/4247,"['data', 'theory']"
